OrderID,CustomerID,CustomerName,Country,Category,OrderDate,Quantity,UnitPrice,PaymentMethod,TotalAmount
127,9f044aed-7552-4327-8262-7f7312922f83,Alexander Wright,Australia,Non-Fiction,2025-01-25,1,6.8,PayPal,6.8
128,19985f15-ff00-4d4d-9020-59e4ff9ab5c2,Joshua Cunningham,Germany,Biography,2025-04-04,3,30.34,PayPal,91.02
129,8181a8cc-3691-47eb-89a2-688b12c136e0,Stephanie Mcintosh,USA,Science,2025-02-28,5,33.54,Credit Card,167.7
130,5958a499-eeea-463e-a1e8-ac6843e42caf,Juan Chan,Canada,Children,2025-01-28,1,40.37,Credit Card,40.37
131,3e896c64-e117-4ac3-919c-4ea3e1805081,Allen Weaver,Canada,Science,2024-06-10,1,23.23,PayPal,23.23
132,702cdd20-2862-48b8-88f4-ef125e9953d2,Mr. Martin Morales,USA,Non-Fiction,2024-07-23,1,10.18,Credit Card,10.18
133,4d71c366-b41b-4143-8b10-550cd5704f32,Ryan Cannon,USA,Non-Fiction,2024-08-25,1,60.4,Credit Card,60.4
134,ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,Catherine Crane,Canada,Fiction,2023-06-07,1,37.4,PayPal,37.4
135,aaf91531-0200-41f0-8768-a84fa76afde6,Michelle Gould,Germany,Fiction,2024-05-23,5,33.51,Gift Card,167.55
136,ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,Mathew Olson,Canada,Non-Fiction,2023-08-12,2,50.43,Credit Card,100.86
137,e0ccedc5-f05d-476e-9a84-a51aa9d3d7c7,Gary Walker,Canada,Romance,2025-04-03,3,20.02,Gift Card,60.06
138,e3c43657-1d8c-4bac-83b4-09ef2260e70f,Terry Williams,UK,Science,2023-10-10,3,17.57,Credit Card,52.71
139,27cb6f2a-8da0-4097-be0f-051b1b66b5a9,Melissa Riley,Canada,Fiction,2024-05-03,5,44.11,PayPal,220.55
140,35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Jesse Anderson,India,Fantasy,2023-07-17,2,61.56,Credit Card,123.12
141,afffcfd2-341e-440b-97c7-00aab7b56ea7,John Stone,India,Science,2023-05-14,1,13.41,PayPal,13.41
142,81627cf1-4394-42e6-9a58-7e8aa25d6b29,Joshua Griffin,USA,Biography,2024-02-07,1,34.02,Gift Card,34.02
143,e87d1c78-e7c4-41c7-8049-7b717d106c60,Virginia Morales,Canada,Science,2024-07-25,2,39.55,Credit Card,79.1
144,a2607723-17a0-4f49-8d01-280fd89a40c0,Ronald Cook,Canada,Fiction,2024-03-13,2,41.08,Gift Card,82.16
145,0b49452d-46d4-43f3-9450-281c6c6f7633,Louis Tyler,USA,Children,2023-05-01,1,29.64,Credit Card,29.64
146,217d65a0-c568-41cd-9563-f61600e85ece,Mary Wall,USA,Science,2023-08-28,1,20.47,Gift Card,20.47
147,295d6fbf-430f-401d-bad4-09e2a319dcb4,Dustin Mendez,UK,Fiction,2023-09-23,1,5,Bank Transfer,5
148,b4a69f3c-8d3a-4d99-b11c-21c9bdc14f1f,Amy Martin,Canada,Fiction,2023-10-15,1,64.38,Credit Card,64.38
149,1ca3c448-0279-46a6-8f97-97b06d7ce3c9,Ashley Martinez,USA,Fiction,2024-10-10,2,58.19,PayPal,116.38
150,b0e6a969-e213-42b0-b1ee-dba313432e61,Scott Gibbs,USA,Non-Fiction,2024-08-06,1,24.17,Credit Card,24.17
151,093923de-8bab-4e3b-a628-6bfbe767dcea,Heather Rojas DDS,Germany,Non-Fiction,2024-05-22,2,34.35,Credit Card,68.7
152,8d7248e2-951f-48d0-9e84-f058d5a804eb,Ashley Shepard,USA,Children,2023-05-08,1,24.92,PayPal,24.92
153,0ab54bde-20a0-4502-ae06-809725e97977,Jessica Vasquez,USA,Fiction,2023-11-23,1,29.56,Credit Card,29.56
154,eededb07-e623-4689-9d59-cd2a4eea04e7,Melinda Rosario,Canada,Science,2024-04-03,2,31.89,Credit Card,63.78
155,0a368ce7-dc57-4131-b8e1-daa7cbceabde,Jennifer Sanchez,India,Science,2024-10-24,3,15.81,PayPal,47.43
156,ae9bec36-35c7-436c-9b99-62c6e61fecc0,Christina Davis DDS,USA,Non-Fiction,2023-10-30,3,32.95,Credit Card,98.85
157,5a8aaeca-1a50-4ec3-aabc-25fa3fe12e47,Mrs. Heather Meyers,UK,Fiction,2023-08-19,1,35.74,PayPal,35.74
158,dfed2c43-e256-46dc-8f54-86b7c7b5b2bc,Nicole Garcia,Australia,Fiction,2025-04-09,4,9.45,Gift Card,37.8
159,bfddc3d9-9ee3-4c2a-b94d-62046808593f,Lisa Robinson,USA,Non-Fiction,2024-05-08,2,23.23,Gift Card,46.46
160,3c9ad14c-ee0c-4eb5-acfe-db992790cebd,Katie Davis,UK,Fiction,2024-12-24,3,12.95,PayPal,38.85
161,ccc56569-f9e8-4369-a999-b735dd56cc94,Christine Farrell,Canada,Non-Fiction,2023-09-12,2,18.32,Credit Card,36.64
162,698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a,Mariah Eaton,UK,Science,2023-08-01,3,30.48,PayPal,91.44
163,ecab3301-bc8f-4d29-adea-94930658663a,Joseph Gould,UK,Children,2023-11-20,3,31.73,Credit Card,95.19
164,696608aa-ee49-4329-884a-7b28550a1b46,Ashley Clark,Canada,Fiction,2023-09-17,1,31.84,Credit Card,31.84
165,bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,Kathryn Simmons,USA,Non-Fiction,2024-10-16,1,65.46,PayPal,65.46
166,28c13091-444d-410b-bf87-e362cf8d446a,Colin Vega Jr.,Australia,Science,2025-03-29,1,38.79,Credit Card,38.79
167,61ee411a-1bac-47a7-b386-f7a4c991603f,Robert Vazquez,Canada,Fantasy,2024-11-30,3,39.91,PayPal,119.73
168,787f2425-dbcc-4477-89e9-db0adf465290,Bryan Monroe,USA,Romance,2024-05-07,2,35.93,Gift Card,71.86
169,eb1fa9f2-d10b-41d0-b317-347038f16a81,Louis Rose,USA,Science,2025-04-08,3,12.55,Bank Transfer,37.65
170,d20eac17-4e20-4d1a-9983-36e375d66ed4,Andrew Abbott,UK,Non-Fiction,2023-12-24,1,32.34,Bank Transfer,32.34
171,39118497-3a43-42ba-9f0f-06cbcb9bc326,Lance Brown,UK,Non-Fiction,2024-06-15,4,34.27,Credit Card,137.08
172,6601ddd0-3170-4437-a8f7-ef5a060edf5b,Christopher Howard,USA,Fantasy,2024-11-20,1,45.28,Credit Card,45.28
173,11c58ef0-dd46-4c09-8752-87aa5408f9ac,Jose Cook,Canada,Fiction,2024-10-28,1,17.59,Credit Card,17.59
174,59e4b671-4774-4c58-85f8-bc16f7860b50,Michael Mckee,USA,Biography,2024-10-31,5,25.71,PayPal,128.55
175,adf4e62d-6651-429e-8268-690ba43825b5,Cynthia Harper,UK,Science,2023-07-08,4,17.93,Credit Card,71.72
176,54c63cd8-8945-4f27-97fa-2d8dfb2ca025,Olivia Martinez,USA,Science,2023-07-11,1,24.21,Bank Transfer,24.21
177,e08596db-1d87-4966-8710-d430f071d879,Mr. Nicholas Munoz,UK,Fiction,2024-03-18,2,29.79,Credit Card,59.58
178,94a1875d-2db6-4edb-82de-ffccf86c2ca2,Thomas Waters,Canada,Science,2023-08-05,3,16.28,Credit Card,48.84
179,09cb3942-43f5-4a85-bbc9-f87af668a617,Ashley Stokes,Germany,Children,2024-01-15,1,46.64,Gift Card,46.64
180,587ef344-6f3f-420c-98b8-e4cc1bc044fc,Kyle Singh,USA,Fiction,2024-07-11,1,19.44,Bank Transfer,19.44
181,6fb78271-504d-481f-8953-5b63ba81edd9,Spencer Jones,Canada,Non-Fiction,2024-02-20,3,44.59,Credit Card,133.77
182,1d9af659-82ec-4f2d-bbf6-e16f9b3080d5,Vicki Fry,USA,Fantasy,2025-04-05,3,27.56,Credit Card,82.68
183,30a900ad-939b-462d-a645-f129629c2ae3,Johnny Fisher,Germany,Children,2024-11-21,2,27.21,PayPal,54.42
184,6fa17735-b572-43d0-8b5c-ea6a41357e8c,Timothy Fuentes,Germany,Non-Fiction,2024-08-12,1,47.13,Credit Card,47.13
185,ce777f00-ecf2-4e76-8519-7ff4006ed6e3,Michelle Sullivan MD,USA,Fiction,2025-02-03,3,43.88,Credit Card,131.64
186,f0b5156b-b82c-4074-afd5-dea589d7fd6c,Jennifer Duncan,UK,History,2024-11-21,1,41.3,Gift Card,41.3
187,3270e4fa-abae-4f43-bcae-8081bdf070aa,David Summers,Australia,History,2025-02-08,1,8.54,PayPal,8.54
188,f2e9702d-11e9-4daa-ae69-81a35d3d9e56,Kristen Flores,UK,Science,2024-04-03,4,52.84,Credit Card,211.36
189,9f871ce7-5487-4d4f-abb7-a385aa0b7b14,James Parsons,Canada,Children,2023-06-12,2,56.53,Credit Card,113.06
190,1fe771d6-d917-4793-a9d3-c2e6505cc686,Alexa Ingram,USA,Non-Fiction,2024-05-18,3,30.56,Credit Card,91.68
191,81d2c7de-4ce1-4b90-a669-7833b841d0a0,James Stanley,USA,Science,2024-02-03,1,20.05,PayPal,20.05
192,5380b904-688c-4015-aab9-7e494f2d4796,Tyler Williams,Germany,Fiction,2023-06-16,1,16.33,PayPal,16.33
193,8dedf9fb-4bb0-4f20-b27c-40266703b636,Melissa Torres,Germany,Fantasy,2023-07-24,3,29.97,PayPal,89.91
194,aa38d0a1-6ba2-4efe-b11c-6eb62095eef6,Lauren Marshall,UK,Science,2023-11-17,1,18.1,Gift Card,18.1
195,bf85bf0e-ad64-456c-a10f-aa3ff0bbac67,Suzanne Johnson,Canada,Non-Fiction,2024-09-24,1,31.15,Gift Card,31.15
196,91b0e1d9-9d92-42af-ac8d-0e44e71e43a6,Miss Sharon Park,Canada,Non-Fiction,2025-03-27,1,26.12,Credit Card,26.12
197,d56f0350-8c45-4ce2-a7f4-8ad54d0b0d1a,Mark Mcclain,UK,Romance,2024-03-31,2,14.42,Gift Card,28.84
198,35ce8841-4973-4d6c-8dca-bfb7001a9a8b,Tracy Frost,Germany,Fiction,2024-03-30,2,24.35,PayPal,48.7
199,9b4e2c24-9479-41e6-8927-7d9b6e0d2648,Jordan Jones,Germany,Non-Fiction,2024-04-18,3,35.77,Gift Card,107.31
200,7118e364-7709-4749-927e-ecfaa79ac9aa,Victor Ruiz,Australia,Science,2025-01-30,3,20.79,Gift Card,62.37
201,82dc4c8e-36b5-429a-acf5-e81e71316269,Jodi Mendoza,UK,Non-Fiction,2023-07-24,3,29.19,Credit Card,87.57
